countyID,monthID,temperature_F,relHumidity_pct
1001,1,43.8417,67.9208
1001,2,46.7583,66.2167
1001,3,56.6167,64.2000
1001,4,63.6125,66.1083
1001,5,71.6083,69.8667
1001,6,78.5042,71.2583
1001,7,80.0667,74.9750
1001,8,80.0333,74.2417
1001,9,74.3667,72.7792
1001,10,63.5375,72.8208
1001,11,53.7083,70.8333
1001,12,45.0792,71.0167
1003,1,48.5750,70.7917
1003,2,50.9083,70.3833
1003,3,59.6333,69.2458
1003,4,66.1917,69.8000
1003,5,74.6167,71.6000
1003,6,80.5083,73.3833
1003,7,81.2542,76.5250
1003,8,81.2208,77.0417
1003,9,77.2208,73.8167
1003,10,67.5875,72.6333
1003,11,57.9708,72.1208
1003,12,49.9583,72.7333
1005,1,44.9458,67.3125
1005,2,47.6792,65.7458
1005,3,57.2250,63.8000
1005,4,64.1042,65.1583
1005,5,72.5333,67.3917
1005,6,79.1250,70.7667
1005,7,80.4250,74.4167
1005,8,80.1958,75.0417
1005,9,75.0417,71.9375
1005,10,64.7917,71.5708
1005,11,54.9250,69.9000
1005,12,46.2542,70.2958
1007,1,42.5917,67.6417
1007,2,45.5625,65.6042
1007,3,55.6375,63.8125
1007,4,63.1458,65.7458
1007,5,71.0500,70.3875
1007,6,78.3917,71.4292
1007,7,80.1583,74.8542
1007,8,80.2375,73.7625
1007,9,74.1375,72.3958
1007,10,62.9167,72.8292
1007,11,53.0125,70.2417
1007,12,43.9583,70.3792
1009,1,39.6667,67.5583
1009,2,42.7083,65.5958
1009,3,53.4458,63.3458
1009,4,61.4792,63.8208
1009,5,69.0792,69.7667
1009,6,76.8750,70.8625
1009,7,78.8833,74.3167
1009,8,79.3542,72.8500
1009,9,72.4208,71.7292
1009,10,60.8958,71.3375
1009,11,50.8583,68.6500
1009,12,41.2458,70.1208
1011,1,43.9292,67.3208
1011,2,46.6958,65.7083
1011,3,56.3750,63.9125
1011,4,62.9792,65.6250
1011,5,71.3125,68.5667
1011,6,78.1917,71.0958
1011,7,79.8792,74.8458
1011,8,79.6667,75.0750
1011,9,74.1792,72.7750
1011,10,63.4375,72.2083
1011,11,53.4125,70.4917
1011,12,45.0708,70.6083
1013,1,44.3458,67.9833
1013,2,46.9917,66.9417
1013,3,56.6042,65.0833
1013,4,63.2708,67.0125
1013,5,71.8875,69.9458
1013,6,78.4208,71.8167
1013,7,79.7167,75.7292
1013,8,79.5458,75.7583
1013,9,74.3875,73.4583
1013,10,63.8000,72.8458
1013,11,53.9375,71.1292
1013,12,45.3375,71.2792
1015,1,40.0083,66.7458
1015,2,42.9792,64.9125
1015,3,53.3250,63.5667
1015,4,61.0208,64.5542
1015,5,68.7792,70.4000
1015,6,76.4125,71.5583
1015,7,78.5667,74.8000
1015,8,78.9500,73.3875
1015,9,72.1792,72.2625
1015,10,60.7167,72.1292
1015,11,50.8000,69.1000
1015,12,41.5292,69.9000
1017,1,41.5625,66.7042
1017,2,44.5917,64.8875
1017,3,54.1958,63.8125
1017,4,61.4250,65.2083
1017,5,69.6125,69.3125
1017,6,76.8958,71.1417
1017,7,78.8833,74.6458
1017,8,78.9250,74.1750
1017,9,72.4792,72.6875
1017,10,61.5792,72.5417
1017,11,51.8750,69.9208
1017,12,42.9250,70.2250
1019,1,38.5500,66.5833
1019,2,41.6000,64.7292
1019,3,52.0750,63.3542
1019,4,60.0708,63.6250
1019,5,67.7542,70.0333
1019,6,75.6542,71.1125
1019,7,78.0125,73.9292
1019,8,78.4167,72.5958
1019,9,71.4083,71.7000
1019,10,59.7000,71.5042
1019,11,49.6375,68.9583
1019,12,40.1500,70.1458
1021,1,42.4750,67.5458
1021,2,45.4750,65.5583
1021,3,55.3917,63.9458
1021,4,62.6833,65.8208
1021,5,70.6542,70.2750
1021,6,77.6250,71.5000
1021,7,79.4333,75.0625
1021,8,79.5167,74.0958
1021,9,73.5208,72.8458
1021,10,62.4958,72.7458
1021,11,52.5500,70.2667
1021,12,43.7625,70.5500
1023,1,44.2375,69.5542
1023,2,46.7042,68.2375
1023,3,56.6875,66.5417
1023,4,63.7708,68.0417
1023,5,71.9083,71.2792
1023,6,79.1625,72.4333
1023,7,80.4708,75.8833
1023,8,80.1375,75.5500
1023,9,74.6792,73.6875
